model;pk
erp.client;4431
erp.client;468451
erp.client;8974
erp.client;73806
erp.client;928647
erp.client;658865
erp.client;535242
erp.client;8795
erp.client;9831
erp.client;499811
erp.client;8819
erp.client;10483
erp.client;460069
erp.client;306278
erp.client;363748
erp.client;9778
erp.client;445
erp.client;414501
erp.client;335107
erp.client;210039
erp.client;335445
erp.client;9995
erp.client;97385
erp.client;9060
erp.client;785894
erp.client;235548
erp.client;9833
erp.client;901273
erp.client;2069
erp.client;367049
erp.client;6355
erp.client;221969
erp.client;7693
erp.client;331789
erp.client;333151
erp.client;56734
erp.client;904715
erp.client;647
erp.client;1685
erp.client;8612
erp.client;10004
erp.client;460427
erp.client;340
erp.client;1480
erp.client;304204
erp.client;681322
erp.client;939458
erp.client;5691
erp.client;562488
erp.client;748261
erp.client;3967
erp.client;3078
erp.client;10614
erp.client;939498
erp.client;966604
erp.client;9830
erp.client;10433
erp.client;431479
erp.client;129678
erp.client;200113
erp.client;414808
erp.client;845152
erp.client;207
erp.client;1618
erp.client;499055
erp.client;118372
erp.client;1159
erp.client;895553
erp.client;981654
erp.client;216781
erp.client;9064
erp.client;851394
erp.client;239164
erp.client;442
erp.client;944295
erp.client;344882
erp.client;5573
erp.client;804747
erp.client;544014
erp.client;710418
erp.client;3261
erp.client;10381
erp.client;139438
erp.client;789912
erp.client;276165
erp.client;9723
erp.client;899296
erp.client;538557
erp.client;721346
erp.client;483293
erp.client;565863
erp.client;137375
erp.client;901023
erp.client;172558
erp.client;8746
erp.client;8491
erp.client;420293
erp.client;485327
erp.client;1849
erp.client;872
erp.client;9875
erp.client;24063
erp.client;10280
erp.client;852122
erp.client;594303
erp.client;336928
erp.client;682648
erp.client;75433
erp.client;69341
erp.client;259061
erp.client;5029
erp.client;570231
erp.client;6190
erp.client;234452
erp.client;202096
erp.client;955349
erp.client;568592
erp.client;282499
erp.client;157138
erp.client;786
erp.client;855
erp.client;10470
erp.client;542078
erp.client;141286
erp.client;758572
erp.client;568982
erp.client;640278
erp.client;450004
erp.client;6527
erp.client;6528
erp.client;326915
erp.client;696285
erp.client;10556
erp.client;154701
erp.client;420702
erp.client;1741
erp.client;744592
erp.client;592709
erp.client;797687
erp.client;9583
erp.client;7810
erp.client;991698
erp.client;8285
erp.client;774076
erp.client;823
erp.client;287519
erp.client;2760
erp.client;477264
erp.client;866232
erp.client;64
erp.client;626122
erp.client;327302
erp.client;9466
erp.client;894
erp.client;8566
erp.client;5050
erp.client;109876
erp.client;161261
erp.client;641155
erp.client;9767
erp.client;2271
erp.client;10078
erp.client;278411
erp.client;5817
erp.client;957729
erp.client;64213
erp.client;369204
erp.client;6104
erp.client;4832
erp.client;103686
erp.client;643067
erp.client;771684
erp.client;6702
erp.client;452266
erp.client;9275
erp.client;797366
erp.client;9088
erp.client;9832
erp.client;536881
erp.client;443113
erp.client;8538
erp.client;8185
erp.client;622
erp.client;455818
erp.client;9567
erp.client;68263
erp.client;237968
erp.client;9590
erp.client;8005
erp.client;7430
erp.client;357457
erp.client;9899
erp.client;618744
erp.client;746651
erp.client;4500
erp.client;112023
erp.client;441
erp.client;10701
erp.client;274118
erp.client;10077
erp.client;9253
erp.client;9313
erp.client;10187
erp.client;826243
erp.client;572564
erp.client;101725
erp.client;704335
