cli;odorizador;cant_odo;aerosoles;cant_aer;goteos;cant_got
4431;1;0;2;0;3;0
468451;1;2;2;0;3;0
8974;1;0;2;0;3;0
73806;1;0;2;0;3;0
928647;1;1;2;0;3;0
658865;1;2;2;0;3;0
535242;1;1;2;0;3;0
8795;1;3;2;0;3;0
9831;1;1;2;0;3;0
499811;1;0;2;0;3;0
8819;1;1;2;0;3;0
10483;1;1;2;0;3;0
460069;1;1;2;0;3;0
306278;1;1;2;0;3;0
363748;1;0;2;0;3;0
9778;1;1;2;0;3;0
445;1;2;2;0;3;0
414501;1;1;2;0;3;0
335107;1;1;2;0;3;0
210039;1;1;2;0;3;0
335445;1;1;2;0;3;0
9995;1;2;2;0;3;0
97385;1;0;2;0;3;0
9060;1;1;2;0;3;0
785894;1;0;2;0;3;0
235548;1;1;2;0;3;0
9833;1;1;2;0;3;0
901273;1;0;2;0;3;0
2069;1;2;2;0;3;0
367049;1;1;2;0;3;0
6355;1;1;2;2;3;0
221969;1;3;2;0;3;0
7693;1;1;2;0;3;0
331789;1;1;2;0;3;0
333151;1;2;2;0;3;0
56734;1;4;2;0;3;0
904715;1;0;2;0;3;0
647;1;1;2;0;3;0
1685;1;4;2;0;3;0
8612;1;5;2;0;3;0
10004;1;1;2;0;3;100
460427;1;2;2;0;3;0
340;1;7;2;0;3;0
1480;1;3;2;0;3;0
304204;1;0;2;0;3;0
681322;1;0;2;0;3;0
939458;1;0;2;0;3;0
5691;1;1;2;0;3;0
562488;1;1;2;0;3;0
748261;1;0;2;0;3;0
3967;1;1;2;0;3;0
3078;1;1;2;0;3;0
10614;1;3;2;0;3;0
939498;1;10;2;0;3;0
966604;1;5;2;0;3;0
9830;1;2;2;0;3;0
10433;1;3;2;0;3;0
431479;1;1;2;0;3;0
129678;1;2;2;0;3;0
200113;1;1;2;0;3;0
414808;1;0;2;0;3;0
845152;1;1;2;0;3;0
207;1;1;2;0;3;0
1618;1;2;2;0;3;0
499055;1;1;2;0;3;100
118372;1;0;2;0;3;0
1159;1;2;2;0;3;0
895553;1;2;2;0;3;0
981654;1;1;2;0;3;0
216781;1;2;2;0;3;0
9064;1;2;2;0;3;0
851394;1;1;2;0;3;0
239164;1;2;2;0;3;0
442;1;3;2;0;3;0
944295;1;1;2;0;3;0
344882;1;2;2;0;3;0
5573;1;1;2;0;3;0
804747;1;0;2;0;3;0
544014;1;0;2;0;3;0
